RIC,Company Common Name,ISIN,Exchange Name,Exchange Market Identifier Code,ESG Score,Company Market Cap,Price Close
ABS.PA,AB Science SA,FR0010557264,Paris Stock Exchange,XPAR,11.2933169845336,84960126.5753876,1.284
AMA.MC,Amadeus IT Group SA,ES0109067019,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,89.5931086110442,21006054251.942,46.64
EDEN.PA,Edenred SE,FR0010908533,Paris Stock Exchange,XPAR,80.0226533162005,4258558121.12148,17.975
APAM.AS,Aperam SA,LU0569974404,Euronext Amsterdam,XAMS,92.3297891681251,2982260751.25213,40.76
DIDA.MC,Distribuidora Internacional de Alimentacion SA,ES0126775008,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,48.8738999782104,2371115782.96762,40.85
DBV.PA,Dbv Technologies SA,FR0010417345,Paris Stock Exchange,XPAR,30.2139564478095,950751549.784866,3.46
IDLA.PA,ID Logistics SAS,FR0010929125,Paris Stock Exchange,XPAR,50.6638534708196,2592492584.2169,396.0
OCI.AS,OCI NV,NL0010558797,Euronext Amsterdam,XAMS,51.3395229134224,768074932.026,3.634
FNAC.PA,Fnac Darty SA,FR0011476928,Paris Stock Exchange,XPAR,60.510691411677,1050486489.19281,35.4
BPOST.BR,Bpost SA,BE0974268972,Brussels Stock Exchange,XBRU,62.345792448021,452889408.329913,2.265
GTT.PA,Gaztransport et Technigaz SA,FR0011726835,Paris Stock Exchange,XPAR,62.2512042248509,6694379754.06989,180.4
FGA.PA,Figeac Aero SARL,FR0011665280,Paris Stock Exchange,XPAR,17.9084040172772,489587670.764051,11.05
WLN.PA,Worldline SA,FR0011981968,Paris Stock Exchange,XPAR,81.9812357198988,379139783.085231,1.3355
EDRE.MC,eDreams ODIGEO SA,LU1048328220,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,67.4817127774649,386621457.430544,3.26
ELIOR.PA,Elior Group SA,FR0011950732,Paris Stock Exchange,XPAR,80.3617551846709,692695041.74071,2.732
IMCD.AS,IMCD NV,NL0010801007,Euronext Amsterdam,XAMS,63.5900045393754,5251029744.25402,88.86
ENX.PA,Euronext NV,NL0006294274,Paris Stock Exchange,XPAR,59.729361788644,13113512407.4808,126.5
NN.AS,NN Group NV,NL0010773842,Euronext Amsterdam,XAMS,75.6354541262718,18058345052.3771,68.68
ONTEX.BR,Ontex Group NV,BE0974276082,Brussels Stock Exchange,XBRU,75.0052803455097,388582146.010669,4.72
MRL.MC,MERLIN Properties SOCIMI SA,ES0105025003,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,71.3942565658447,7726745081.93608,13.71
COFA.PA,Coface SA,FR0010667147,Paris Stock Exchange,XPAR,53.9718659322635,2417292956.79232,16.1
