Date,RIC,PriceClose
2025-06-17,A.N,116.09
2025-06-18,A.N,115.52
2025-06-20,A.N,115.56
2025-06-23,A.N,116.13
2025-06-24,A.N,117.64
2025-06-25,A.N,118.62
2025-06-26,A.N,119.42
2025-06-27,A.N,119.17
2025-06-30,A.N,118.01
2025-07-01,A.N,120.45
2025-07-02,A.N,120.66
2025-07-03,A.N,121.38
2025-07-07,A.N,119.25
2025-07-08,A.N,121.01
2025-07-09,A.N,121.3
2025-07-10,A.N,124.17
2025-07-11,A.N,123.28
2025-07-14,A.N,120.08
2025-07-15,A.N,112.94
2025-07-16,A.N,113.43
2025-07-17,A.N,116.36
2025-07-18,A.N,113.99
2025-07-21,A.N,112.04
2025-07-22,A.N,116.19
2025-07-23,A.N,119.47
2025-07-24,A.N,120.35
2025-07-25,A.N,120.18
2025-07-28,A.N,119.54
2025-07-29,A.N,119.84
2025-07-30,A.N,118.05
2025-07-31,A.N,114.81
2025-08-01,A.N,113.5
2025-08-04,A.N,114.84
2025-08-05,A.N,114.89
2025-08-06,A.N,113.23
2025-08-07,A.N,113.98
2025-08-08,A.N,114.62
2025-08-11,A.N,114.13
2025-08-12,A.N,117.32
2025-08-13,A.N,120.29
2025-08-14,A.N,118.87
2025-08-15,A.N,119.2
2025-08-18,A.N,118.15
2025-08-19,A.N,120.11
2025-08-20,A.N,119.11
2025-08-21,A.N,117.15
2025-08-22,A.N,121.63
2025-08-25,A.N,119.15
2025-08-26,A.N,118.3
2025-08-27,A.N,118.69
2025-08-28,A.N,124.96
2025-08-29,A.N,125.66
2025-09-02,A.N,125.21
2025-09-03,A.N,125.22
2025-09-04,A.N,128.48
2025-09-05,A.N,128.75
2025-09-08,A.N,128.13
2025-09-09,A.N,126.25
2025-09-10,A.N,124.12
2025-09-11,A.N,126.73
2025-09-12,A.N,123.24
2025-09-15,A.N,125.63
2025-09-16,A.N,127.19
2025-09-17,A.N,126.72
2025-09-18,A.N,127.62
2025-09-19,A.N,126.32
2025-09-22,A.N,126.33
2025-09-23,A.N,125.94
2025-09-24,A.N,124.38
2025-09-25,A.N,121.89
2025-09-26,A.N,123.39
2025-09-29,A.N,123.75
2025-09-30,A.N,128.35
2025-10-01,A.N,138.58
2025-10-02,A.N,138.7
2025-10-03,A.N,141.64
2025-10-06,A.N,141.61
2025-10-07,A.N,138.56
2025-10-08,A.N,140.81
2025-10-09,A.N,140.11
2025-10-10,A.N,136.62
2025-10-13,A.N,138.23
2025-10-14,A.N,138.04
2025-10-15,A.N,139.65
2025-10-16,A.N,141.1
2025-10-17,A.N,141.92
2025-10-20,A.N,143.0
2025-10-21,A.N,145.68
2025-10-22,A.N,145.87
2025-10-23,A.N,147.46
2025-10-24,A.N,148.03
2025-10-27,A.N,146.59
2025-10-28,A.N,145.85
2025-10-29,A.N,143.2
2025-10-30,A.N,143.36
2025-10-31,A.N,146.36
2025-11-03,A.N,144.69
2025-11-04,A.N,146.08
2025-11-05,A.N,146.77
2025-11-06,A.N,147.49
2025-11-07,A.N,146.74
2025-11-10,A.N,146.36
2025-11-11,A.N,149.42
2025-11-12,A.N,151.52
2025-11-13,A.N,146.89
2025-11-14,A.N,146.82
2025-11-17,A.N,144.52
2025-11-18,A.N,143.84
2025-11-19,A.N,144.4
2025-11-20,A.N,145.06
2025-11-21,A.N,151.25
2025-11-24,A.N,153.6
2025-11-25,A.N,157.2
2025-11-26,A.N,154.37
2025-11-28,A.N,153.5
2025-12-01,A.N,150.1
2025-12-02,A.N,148.81
2025-12-03,A.N,149.26
2025-12-04,A.N,148.32
2025-12-05,A.N,145.49
2025-12-08,A.N,142.44
2025-12-09,A.N,140.64
2025-12-10,A.N,143.47
2025-12-11,A.N,142.87
2025-12-12,A.N,139.68
2025-12-15,A.N,140.6
2025-12-16,A.N,139.19
2025-12-17,A.N,136.66
2025-12-18,A.N,136.9
2025-12-19,A.N,137.24
2025-12-22,A.N,138.52
2025-12-23,A.N,138.36
2025-12-24,A.N,138.32
2025-12-26,A.N,138.39
2025-12-29,A.N,137.93
2025-12-30,A.N,137.62
2025-12-31,A.N,136.07
2026-01-02,A.N,137.95
2026-01-05,A.N,142.93
2026-01-06,A.N,147.6
2026-01-07,A.N,147.81
2026-01-08,A.N,145.76
2026-01-09,A.N,148.52
2026-01-12,A.N,147.99
2026-01-13,A.N,146.32
2026-01-14,A.N,145.92
2026-01-15,A.N,144.83
2026-01-16,A.N,139.64
2026-01-20,A.N,135.83
2026-01-21,A.N,139.77
2026-01-22,A.N,138.63
2026-01-23,A.N,135.05
2026-01-26,A.N,135.65
2026-01-27,A.N,135.95
2026-01-28,A.N,133.87
2026-01-29,A.N,133.27
2026-01-30,A.N,133.85
2026-02-02,A.N,135.39
2026-02-03,A.N,132.14
2026-02-04,A.N,132.98
2026-02-05,A.N,129.64
2026-02-06,A.N,129.58
2026-02-09,A.N,127.5
2026-02-10,A.N,129.0
2026-02-11,A.N,128.9
2026-02-12,A.N,124.88
2026-02-13,A.N,125.81
2026-02-17,A.N,123.87
2026-02-18,A.N,126.94
2026-02-19,A.N,126.34
2026-02-20,A.N,122.9
2026-02-23,A.N,124.2
2026-02-24,A.N,124.4
2025-06-17,A3M.MC,5.33
2025-06-18,A3M.MC,5.35
2025-06-19,A3M.MC,5.21
2025-06-20,A3M.MC,5.16
2025-06-23,A3M.MC,5.12
2025-06-24,A3M.MC,5.1
2025-06-25,A3M.MC,4.99
2025-06-26,A3M.MC,4.975
2025-06-27,A3M.MC,5.06
2025-06-30,A3M.MC,5.17
2025-07-01,A3M.MC,5.17
2025-07-02,A3M.MC,5.09
2025-07-03,A3M.MC,5.11
2025-07-04,A3M.MC,5.07
2025-07-07,A3M.MC,5.1
2025-07-08,A3M.MC,5.1
2025-07-09,A3M.MC,5.18
2025-07-10,A3M.MC,5.12
2025-07-11,A3M.MC,5.15
2025-07-14,A3M.MC,5.17
2025-07-15,A3M.MC,5.12
