,Weight,Investment,AnnVol
CLNX.MC,0.15,10500000.0,0.2740695311155091
HSY.N,0.11119163792990386,7783414.65509327,0.2904325273632219
MT.AS,0.0952876389346169,6670134.725423183,0.31888452723420907
FDX.N,0.09155291934814946,6408704.354370463,0.26232737978226006
EIX.N,0.08954756083335813,6268329.258335069,0.27911414624744646
PCG.N,0.08820561632395378,6174393.142676765,0.27165837982816354
AD.AS,0.07862145124208791,5503501.586946154,0.2865372766858238
GRMN.N,0.074528210150775,5216974.7105542505,0.3177440802339656
FTI.N,0.07085432699190367,4959802.889433256,0.2878332916978847
HWM.N,0.05887375637751538,4121162.9464260763,0.30388616414030234
SCCO.N,0.0475590651704694,3329134.561932858,0.45086659369440507
TPR.N,0.04377781669726654,3064447.1688086577,0.3272715001177862
