Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AD,Agilent Technologies Inc.,130000,USD,49.03,48.17,-0.32,"96,283.86",5489299.40145545,1.79
EIX,Edison International,100000,USD,71.76,73.85,0.54,"-179,993.97",6180080.09301124,-2.83
FDX,Fedex Corp,20000,USD,359.1,382.79,-14.25,"-408,043.75",6185247.38405891,-6.19
FTI,TechnipFMC plc,76000,USD,63.02,67.12,-1.42,"-268,354.65",4124807.30310468,-6.11
GRMN,Garmin Ltd,23700,USD,243.48,250,3.31,"-133,078.41",4969621.49593076,-2.61
HSY,Hershey Company,26927,USD,224.99,236.22,-1.59,"-260,423.04",5217504.82711106,-4.75
HWM,Howmet Aerospace Inc,18000,USD,250.13,262.08,-2.26,"-185,247.38",3877483.52925979,-4.56
MT,ARCELORMITTAL,120223,EUR,47.9,54.54,-1.41,"-798,280.72",5758681.7,-12.17
OMC,"Omnicom Group, Inc.",70000,USD,84.93,85.01,0.16,"-4,822.80",5120010.3345821,-0.09
PCG,PG&E Corp.,380000,USD,18.18,18.91,0.05,"-238,901.09",5949618.91228523,-3.86
SCCO,Southern Copper Corporation,18000,USD,184.97,220.3,-6.90,"-547,681.18",2867381.47526159,-16.04
TPL,Texas Pacific Land Corporation,5000,USD,525.03,520,1.72,"21,659.56",2260819.01563106,0.97
TPR,Tapestry Inc,23000,USD,144.15,153.21,-5.05,"-179,460.02",2855315.85066529,-5.91
