Symbol,Description,Quantity,MarketValue,WeightPct,ProfitLoss,ProfitLossPercentage,PricePaid,LastPrice,PriceGapPct,PortfolioReturnContributionPct,DeskBucket
MT,ARCELORMITTAL,120223,5758681.7,9.462820225670459,-798280.72,-12.17,54.54,47.9,-12.174550788412175,-1.2484408322329295,Hard cut / thesis failed
SCCO,Southern Copper Corporation,18000,2867381.47526159,4.711758147497225,-547681.18,-16.04,220.3,184.97,-16.03722197004086,-0.8565251934902209,Hard cut / thesis failed
FDX,Fedex Corp,20000,6185247.38405891,10.16376439882898,-408043.75,-6.19,382.79,359.1,-6.1887719114919415,-0.638144534966904,Cut / de-risk now
FTI,TechnipFMC plc,76000,4124807.30310468,6.777993993801077,-268354.65,-6.11,67.12,63.02,-6.108462455303931,-0.4196830691082913,Reduce / tight leash
HSY,Hershey Company,26927,5217504.82711106,8.57354387298742,-260423.04,-4.75,236.22,224.99,-4.754042841419015,-0.40727872870364384,Hold only with thesis
PCG,PG&E Corp.,380000,5949618.91228523,9.776573374111672,-238901.09,-3.86,18.91,18.18,-3.860391327340029,-0.37362029189550505,Hold only with thesis
HWM,Howmet Aerospace Inc,18000,3877483.52925979,6.371584935035324,-185247.38,-4.56,262.08,250.13,-4.55967643467643,-0.28971060863923875,Hold only with thesis
EIX,Edison International,100000,6180080.09301124,10.155273367585176,-179993.97,-2.83,73.85,71.76,-2.8300609343263172,-0.2814947374699328,Hold only with thesis
TPR,Tapestry Inc,23000,2855315.85066529,4.69193158954296,-179460.02,-5.91,153.21,144.15,-5.913452124534957,-0.28065968663421825,Reduce / tight leash
GRMN,Garmin Ltd,23700,4969621.49593076,8.166215334599979,-133078.41,-2.61,250.0,243.48,-2.607999999999999,-0.2081229281506824,Hold only with thesis
OMC,"Omnicom Group, Inc.",70000,5120010.3345821,8.413338307919547,-4822.8,-0.09,85.01,84.93,-0.09410657569697278,-0.007542435004183706,Hold only with thesis
TPL,Texas Pacific Land Corporation,5000,2260819.01563106,3.71503844494374,21659.56,0.97,520.0,525.03,0.967307692307684,0.03387364674446737,Flat / neutral
AD,Agilent Technologies Inc.,130000,5489299.40145545,9.020164007476463,96283.86,1.79,48.17,49.03,1.7853435748391044,0.15057948826447778,Relative strength
