Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage,CostBasis,Weight,WeightPct,PriceGapPct,PortfolioReturnContributionPct,DeskBucket,RegionBucket,CurrentUSWeightPct,SizingComment
AD,Agilent Technologies Inc.,130000,USD,49.03,48.17,-0.32,96283.86,5489299.40145545,1.79,5393015.54145545,0.09020164007476462,9.020164007476463,1.7853435748391044,0.15057948826447778,Relative strength,US-focused,10.769163911301275,Neutral sizing
EIX,Edison International,100000,USD,71.76,73.85,0.54,-179993.97,6180080.09301124,-2.83,6360074.063011239,0.10155273367585176,10.155273367585176,-2.8300609343263172,-0.2814947374699328,Hold only with thesis,US-focused,12.124369730855209,Too large for a losing name
FDX,Fedex Corp,20000,USD,359.1,382.79,-14.25,-408043.75,6185247.38405891,-6.19,6593291.13405891,0.1016376439882898,10.16376439882898,-6.1887719114919415,-0.638144534966904,Cut / de-risk now,US-focused,12.134507163740544,Too large for a losing name
GRMN,Garmin Ltd,23700,USD,243.48,250.0,3.31,-133078.41,4969621.49593076,-2.61,5102699.90593076,0.08166215334599979,8.166215334599979,-2.607999999999999,-0.2081229281506824,Hold only with thesis,US-focused,9.749635527735014,Neutral sizing
HSY,Hershey Company,26927,USD,224.99,236.22,-1.59,-260423.04,5217504.82711106,-4.75,5477927.86711106,0.0857354387298742,8.57354387298742,-4.754042841419015,-0.40727872870364384,Hold only with thesis,US-focused,10.23594462278132,Too large for a losing name
HWM,Howmet Aerospace Inc,18000,USD,250.13,262.08,-2.26,-185247.38,3877483.52925979,-4.56,4062730.90925979,0.06371584935035324,6.371584935035324,-4.55967643467643,-0.28971060863923875,Hold only with thesis,US-focused,7.607028262823119,Neutral sizing
OMC,"Omnicom Group, Inc.",70000,USD,84.93,85.01,0.16,-4822.8,5120010.3345821,-0.09,5124833.1345820995,0.08413338307919548,8.413338307919547,-0.09410657569697278,-0.007542435004183706,Hold only with thesis,US-focused,10.044675374429676,Too large for a losing name
PCG,PG&E Corp.,380000,USD,18.18,18.91,0.05,-238901.09,5949618.91228523,-3.86,6188520.00228523,0.09776573374111673,9.776573374111672,-3.860391327340029,-0.37362029189550505,Hold only with thesis,US-focused,11.67224022416946,Too large for a losing name
SCCO,Southern Copper Corporation,18000,USD,184.97,220.3,-6.9,-547681.18,2867381.47526159,-16.04,3415062.65526159,0.04711758147497225,4.711758147497225,-16.03722197004086,-0.8565251934902209,Hard cut / thesis failed,US-focused,5.625362882398707,Do not add until setup improves
TPL,Texas Pacific Land Corporation,5000,USD,525.03,520.0,1.72,21659.56,2260819.01563106,0.97,2239159.45563106,0.0371503844494374,3.71503844494374,0.967307692307684,0.03387364674446737,Flat / neutral,US-focused,4.43538032315421,Candidate to receive capital if thesis still good
TPR,Tapestry Inc,23000,USD,144.15,153.21,-5.05,-179460.02,2855315.85066529,-5.91,3034775.87066529,0.046919315895429595,4.69193158954296,-5.913452124534957,-0.28065968663421825,Reduce / tight leash,US-focused,5.6016919766114714,Do not add until setup improves
